"","x","y","stem.density","basal.area","biomass"
"15638",916000,980000,133.46912861354,38.565455711793,70057.3342455053
"15639",924000,980000,156.603014839335,46.4944973021363,89415.7467847585
"15640",932000,980000,115.987071292715,31.9108931845766,40726.942254664
"15641",940000,980000,146.529269768321,26.5264369447704,48989.2144475461
"15642",948000,980000,203.110179521759,54.010627105392,148875.773138852
"15643",956000,980000,182.977114107696,41.0079331534762,96150.4087058861
"15644",964000,980000,125.035405386932,30.0947745978331,43486.8544549563
"15645",972000,980000,88.7435967859375,25.3268177268214,35007.0191496081
"15646",980000,980000,97.7823457160627,12.3867614745065,NA
"15696",-44000,972000,0,0,0
"15697",-36000,972000,0.00921896795347427,0.00864194202143329,204.514763313261
"15698",-28000,972000,1.67947051882918,0.404524623525974,3971.58130254694
"15699",-20000,972000,0.453469259925962,0.445083593291,7282.57492608635
"15700",-12000,972000,0,0,0
"15701",-4000,972000,0,0,0
"15702",4000,972000,0,0,0
"15703",12000,972000,0,0,0
"15704",20000,972000,0,0,0
"15705",28000,972000,0.161415009858409,0.0695216638237744,1235.53315612168
"15706",36000,972000,0,0,0
"15707",44000,972000,3.29119082401006,0.175550145746706,1412.51155180941
"15708",52000,972000,6.5867109698554,1.31374074452007,8025.52843704182
"15709",60000,972000,0,0,0
"15710",68000,972000,0,0,0
"15711",76000,972000,0,0,0
"15712",84000,972000,0,0,0
"15713",92000,972000,0,0,0
"15714",1e+05,972000,0,0,0
"15715",108000,972000,0.0137365269551789,0.00363332929329705,57.9297589559213
"15716",116000,972000,0,0,0
"15717",124000,972000,5.00500251989518,6.4625288106029,151047.609206009
"15718",132000,972000,7.80585873076833,1.39919872434827,10925.8221301128
"15719",140000,972000,113.732868332429,12.4785617001838,66644.4938244441
"15720",148000,972000,65.8334569427836,7.80794581561953,17456.7862587264
"15721",156000,972000,84.2704553228115,23.3580014086889,114613.822055105
"15722",164000,972000,56.9007374762618,25.478017788924,175448.558811987
"15723",172000,972000,58.3602943397535,20.4146148642762,81011.2389671905
"15724",180000,972000,17.5590672224827,6.17396064165235,19442.9264355754
"15725",188000,972000,18.4708794286026,5.06649085529835,18612.3275366313
"15726",196000,972000,12.9746564798057,3.32122610604361,31609.2532958912
"15727",204000,972000,16.8270656266203,4.47827755378978,24886.2348236192
"15728",212000,972000,5.1067422330365,1.61571138669004,7583.83063546422
"15729",220000,972000,27.320994914854,13.9888982896962,120902.932100272
"15730",228000,972000,30.4588723793287,9.56870332113098,42657.0983963514
"15731",236000,972000,17.5694025796439,6.13722256961248,20062.8091018905
"15732",244000,972000,29.4447105657455,6.88764406812588,52471.6995995259
"15733",252000,972000,7.1315228594276,1.64974615279612,7207.64723745673
"15734",260000,972000,6.86841885245675,1.30411823952398,7837.1614520439
"15735",268000,972000,2.87227190124174,0.553820305757176,4066.93972707904
"15736",276000,972000,3.00411282670715,0.774018137171726,5052.03714500663
"15737",284000,972000,63.9704073599069,14.7168827766523,47261.5686850016
"15738",292000,972000,110.908362447613,52.0964716213286,181554.589364583
"15739",3e+05,972000,111.059635782706,38.0343771834346,72498.8555547233
"15740",308000,972000,111.711440773679,28.8135962990384,44528.3651329785
"15741",316000,972000,51.1595701843918,19.3242946935162,69155.4577038169
"15742",324000,972000,14.9291337372143,6.12033872833277,27533.8224775666
"15743",332000,972000,13.3153732718594,1.84979205515233,6776.76350354304
"15744",340000,972000,7.97290337957592,1.0678259313644,7997.85820067331
"15745",348000,972000,20.9656701359946,4.11031474132085,14833.0920274132
"15746",356000,972000,56.7264155819567,13.1573617110415,52751.2508005171
"15747",364000,972000,92.8352147927985,23.9615945842474,59774.2622826105
"15748",372000,972000,128.819010639381,34.7821244315077,124392.924891301
"15749",380000,972000,151.327220768306,42.9081498124848,97000.2111135249
"15750",388000,972000,123.12387936207,31.679806738615,51332.9449255318
"15751",396000,972000,208.15308308927,72.453871008303,165040.66434059
"15752",404000,972000,147.236496474636,55.8670293898576,100510.668278023
"15753",412000,972000,154.247532164281,55.748425233829,127283.567853811
"15754",420000,972000,178.986528497186,57.5073909043691,105063.823994462
"15755",428000,972000,149.474403896555,58.9349005028395,91636.0622037023
"15756",436000,972000,151.222789130834,52.0650177732341,125085.136537144
"15757",444000,972000,119.053040303513,39.7143983244597,115137.210891516
"15758",452000,972000,105.66364732216,32.8950296696436,71128.0454418424
"15759",460000,972000,107.291756203631,36.7226410133117,51024.0096165207
"15760",468000,972000,95.7135198945159,27.6190922392551,54524.7255321474
"15761",476000,972000,98.2874904815425,35.9013598529293,82874.5459978057
"15762",484000,972000,93.3250600479474,41.6722319867474,76306.2717785284
"15763",492000,972000,133.293926474632,52.9376061433199,105223.786328154
"15764",5e+05,972000,150.349683612055,69.3976849517206,164466.929839508
"15765",508000,972000,194.261086367439,74.9541004942162,314020.461617871
"15766",516000,972000,201.721081517631,70.2880830491127,316961.231648295
"15767",524000,972000,296.911137405268,56.4374263320582,91089.2147217229
