"","x","y","NonTree","Ashes","Birches","Tamarack","Pine","Fir","Elms","Maple","Cedar","Poplar","Basswood","Spruce","Oaks","Willow","Alder","Ironwoods","Walnuts","Hickory","Beech","Celtis","Cherries","Juniper","Rose Trees","Sycamore","Hardwood undif","Water","Hemlock","*******","Cornus","Buckeye"
"13785",332000,1060000,3,2,5,2,37,0,3,36,0,20,10,0,22,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13786",340000,1060000,2,2,6,2,76,0,0,7,0,13,2,0,30,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"13787",348000,1060000,3,4,21,3,58,2,1,28,0,10,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"13788",356000,1060000,9,2,14,7,52,4,1,21,0,9,2,3,10,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"13789",364000,1060000,4,5,18,10,44,0,4,27,0,7,5,1,8,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0
"13790",372000,1060000,2,3,48,1,24,5,8,32,0,8,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,11,0,0,0
"13791",380000,1060000,0,2,52,4,15,2,5,32,1,6,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,26,0,0,0
"13792",388000,1060000,0,2,76,10,1,3,2,20,2,0,2,1,3,0,0,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0
"13793",396000,1060000,0,3,51,22,4,2,2,7,1,0,7,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0
"13794",404000,1060000,1,0,40,15,7,3,5,23,6,0,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
"13795",412000,1060000,0,0,28,17,8,12,3,14,5,0,3,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,44,0,0,0
"13796",420000,1060000,0,0,48,13,1,2,3,10,3,0,1,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
"13797",428000,1060000,0,2,37,13,10,7,6,12,7,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,51,0,0,0
"13798",436000,1060000,0,2,26,22,13,10,4,13,6,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,49,0,0,0
"13799",444000,1060000,0,1,28,14,7,4,2,11,15,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
"13800",452000,1060000,0,1,27,23,11,11,0,10,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0
"13801",460000,1060000,0,2,33,27,11,13,0,8,11,0,0,7,0,0,4,0,0,0,0,0,3,0,0,0,0,0,43,0,0,0
"13802",468000,1060000,0,0,16,40,18,13,0,19,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
"13803",476000,1060000,14,1,26,11,11,3,0,4,12,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,56,0,0,0
"13804",484000,1060000,27,0,21,7,54,0,0,6,0,9,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,18,15,0,0,0
"13805",492000,1060000,21,0,5,19,59,0,0,1,0,20,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0
"13806",5e+05,1060000,11,0,13,14,69,0,0,4,1,38,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"13807",508000,1060000,14,0,41,11,32,3,0,19,1,13,1,0,7,1,0,0,0,0,0,0,1,0,0,0,0,12,2,0,0,0
"13808",516000,1060000,17,0,37,3,51,0,0,7,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0
"13809",524000,1060000,6,0,51,7,33,2,0,15,0,18,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0
"13810",532000,1060000,13,0,28,22,60,5,0,10,1,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0
"13811",540000,1060000,15,0,39,10,39,3,0,19,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0
"13812",548000,1060000,12,0,18,8,56,7,2,21,4,0,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,9,9,0,0,0
"13813",556000,1060000,10,0,17,11,1,19,2,50,3,0,3,7,0,0,0,5,0,0,0,0,0,0,0,0,0,8,26,0,0,0
"13814",564000,1060000,0,1,35,22,5,5,0,30,11,3,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
"13815",572000,1060000,1,3,32,11,4,9,0,38,17,9,5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,0
"13816",580000,1060000,1,0,30,16,1,21,3,38,26,2,2,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"13817",588000,1060000,2,0,25,3,5,5,5,57,26,2,6,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,11,0,0,0
"13818",596000,1060000,2,0,19,6,8,2,11,56,26,1,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,0,0,0
"13819",604000,1060000,10,1,16,1,55,0,3,31,6,2,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0
"13820",612000,1060000,8,1,21,8,70,0,1,7,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"13821",620000,1060000,10,2,42,0,11,0,0,30,29,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
"13822",628000,1060000,5,0,27,4,6,0,1,29,39,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"13823",636000,1060000,12,1,26,3,6,0,1,21,48,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"13824",644000,1060000,4,0,18,4,9,0,0,30,42,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"13825",652000,1060000,1,0,11,12,10,0,0,31,40,7,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"13826",660000,1060000,5,0,16,14,0,0,0,32,54,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"13827",668000,1060000,1,0,13,27,11,0,0,8,55,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"13828",676000,1060000,7,0,8,42,1,0,3,15,38,3,4,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"13829",684000,1060000,15,3,9,4,0,0,0,26,57,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"13830",692000,1060000,16,7,19,13,1,0,1,21,64,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
"13831",7e+05,1060000,10,3,12,26,1,0,0,6,45,20,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
